JSON_Field_Path,Loop_Name,Segment_Name,Element_Number,Element_Description,Notes
submitter.type,1000A,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
submitter.name,1000A,NM1,3,Name Last or Organization Name,Combined with elements 4,5 for individuals
submitter.name,1000A,NM1,4,Name First,Used for individuals only
submitter.name,1000A,NM1,5,Name Middle,Used for individuals only
submitter.sbmtter_contact_name,1000A,PER,2,Contact Name,Contact person name
submitter.sbmtter_contacts,1000A,PER,3,Communication Number Qualifier,TE=Telephone, EX=Extension
submitter.sbmtter_contacts,1000A,PER,4,Communication Number,Phone number
submitter.sbmtter_contacts,1000A,PER,5,Communication Number Qualifier,Additional contact type
submitter.sbmtter_contacts,1000A,PER,6,Communication Number,Additional contact number
receiver.type,1000A,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
receiver.name,1000A,NM1,3,Name Last or Organization Name,Organization name for receiver
subscriber.subsciber_identifier,2000B,NM1,9,Identification Code,Member ID
subscriber.name,2000B,NM1,3,Name Last,Last name
subscriber.name,2000B,NM1,4,Name First,First name
subscriber.name,2000B,NM1,5,Name Middle,Middle name
subscriber.patient_relationship_cd,2000B,PAT,1,Individual Relationship Code,01=Spouse, 18=Self, 19=Child, G8=Other
subscriber.subscriber_relationship_cd,2000B,SBR,2,Individual Relationship Code,01=Spouse, 18=Self, 19=Child, G8=Other
subscriber.street,2000B,N3,1,Address Information,Street address
subscriber.city,2000B,N4,1,City Name,City
subscriber.state,2000B,N4,2,State or Province Code,State code
subscriber.zip,2000B,N4,3,Postal Code,ZIP code
subscriber.dob,2000B,DMG,2,Date Time Period Format Qualifier,Date of birth
subscriber.dob_format,2000B,DMG,1,Date Time Period Format Qualifier,D8=Date, D6=Date
subscriber.gender_cd,2000B,DMG,3,Gender Code,M=Male, F=Female
subscriber.mrn,2000B,REF,2,Reference Identification,Medical Record Number (when qualifier=EA)
patient.subsciber_identifier,2000C,NM1,9,Identification Code,Member ID (same as subscriber if SBR.2=18)
patient.name,2000C,NM1,3,Name Last,Last name
patient.name,2000C,NM1,4,Name First,First name
patient.name,2000C,NM1,5,Name Middle,Middle name
patient.patient_relationship_cd,2000C,PAT,1,Individual Relationship Code,01=Spouse, 18=Self, 19=Child, G8=Other
patient.subscriber_relationship_cd,2000C,SBR,2,Individual Relationship Code,01=Spouse, 18=Self, 19=Child, G8=Other
patient.street,2000C,N3,1,Address Information,Street address
patient.city,2000C,N4,1,City Name,City
patient.state,2000C,N4,2,State or Province Code,State code
patient.zip,2000C,N4,3,Postal Code,ZIP code
patient.dob,2000C,DMG,2,Date Time Period Format Qualifier,Date of birth
patient.dob_format,2000C,DMG,1,Date Time Period Format Qualifier,D8=Date, D6=Date
patient.gender_cd,2000C,DMG,3,Gender Code,M=Male, F=Female
patient.mrn,2000C,REF,2,Reference Identification,Medical Record Number (when qualifier=EA)
payer.payer_name,2000B,NM1,3,Name Last or Organization Name,Payer organization name (when qualifier=PR)
payer.payer_identifier,2000B,NM1,9,Identification Code,Payer ID
payer.payer_identifier_cd,2000B,NM1,8,Identification Code Qualifier,PI=Payor Identification, XV=Centers for Medicare and Medicaid Services Plan ID
payer.business_entity_type,2000B,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
providers.billing.npi,2010AA,NM1,9,Identification Code,National Provider Identifier
providers.billing.entity_type,2010AA,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
providers.billing.name,2010AA,NM1,3,Name Last or Organization Name,Provider name
providers.billing.name,2010AA,NM1,4,Name First,First name (for individuals)
providers.billing.name,2010AA,NM1,5,Name Middle,Middle name (for individuals)
providers.billing.street,2010AA,N3,1,Address Information,Street address
providers.billing.city,2010AA,N4,1,City Name,City
providers.billing.state,2010AA,N4,2,State or Province Code,State code
providers.billing.zip,2010AA,N4,3,Postal Code,ZIP code
providers.billing.ein_type,2010AA,REF,1,Reference Identification Qualifier,EI=Employer's Identification Number
providers.billing.ein,2010AA,REF,2,Reference Identification,Employer Identification Number
providers.billing.taxonomy,2010AA,PRV,3,Provider Specialty Information,Provider taxonomy code
providers.billing.provider_role,2010AA,PRV,1,Provider Code,BI=Billing Provider
providers.attending.npi,2310A,NM1,9,Identification Code,National Provider Identifier (when qualifier=71)
providers.attending.entity_type,2310A,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
providers.attending.name,2310A,NM1,3,Name Last or Organization Name,Provider name
providers.attending.name,2310A,NM1,4,Name First,First name (for individuals)
providers.attending.name,2310A,NM1,5,Name Middle,Middle name (for individuals)
providers.attending.street,2310A,N3,1,Address Information,Street address
providers.attending.city,2310A,N4,1,City Name,City
providers.attending.state,2310A,N4,2,State or Province Code,State code
providers.attending.zip,2310A,N4,3,Postal Code,ZIP code
providers.attending.ein_type,2310A,REF,1,Reference Identification Qualifier,Reference qualifier
providers.attending.ein,2310A,REF,2,Reference Identification,Reference ID
providers.attending.taxonomy,2310A,PRV,3,Provider Specialty Information,Provider taxonomy code (when qualifier=AT)
providers.attending.provider_role,2310A,PRV,1,Provider Code,AT=Attending Provider
providers.operating.npi,2310B,NM1,9,Identification Code,National Provider Identifier (when qualifier=72)
providers.operating.entity_type,2310B,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
providers.operating.name,2310B,NM1,3,Name Last or Organization Name,Provider name
providers.operating.name,2310B,NM1,4,Name First,First name (for individuals)
providers.operating.name,2310B,NM1,5,Name Middle,Middle name (for individuals)
providers.operating.street,2310B,N3,1,Address Information,Street address
providers.operating.city,2310B,N4,1,City Name,City
providers.operating.state,2310B,N4,2,State or Province Code,State code
providers.operating.zip,2310B,N4,3,Postal Code,ZIP code
providers.operating.ein_type,2310B,REF,1,Reference Identification Qualifier,Reference qualifier
providers.operating.ein,2310B,REF,2,Reference Identification,Reference ID
providers.operating.taxonomy,2310B,PRV,3,Provider Specialty Information,Provider taxonomy code (when qualifier=OP)
providers.operating.provider_role,2310B,PRV,1,Provider Code,OP=Operating Physician
providers.other.npi,2310C,NM1,9,Identification Code,National Provider Identifier (when qualifier=73)
providers.other.entity_type,2310C,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
providers.other.name,2310C,NM1,3,Name Last or Organization Name,Provider name
providers.other.name,2310C,NM1,4,Name First,First name (for individuals)
providers.other.name,2310C,NM1,5,Name Middle,Middle name (for individuals)
providers.other.street,2310C,N3,1,Address Information,Street address
providers.other.city,2310C,N4,1,City Name,City
providers.other.state,2310C,N4,2,State or Province Code,State code
providers.other.zip,2310C,N4,3,Postal Code,ZIP code
providers.other.ein_type,2310C,REF,1,Reference Identification Qualifier,Reference qualifier
providers.other.ein,2310C,REF,2,Reference Identification,Reference ID
providers.other.taxonomy,2310C,PRV,3,Provider Specialty Information,Provider taxonomy code (when qualifier=OT)
providers.other.provider_role,2310C,PRV,1,Provider Code,OT=Other Physician
providers.service_facility.npi,2310D,NM1,9,Identification Code,National Provider Identifier (when qualifier=77)
providers.service_facility.entity_type,2310D,NM1,2,Entity Type Qualifier,1=Individual, 2=Organization
providers.service_facility.name,2310D,NM1,3,Name Last or Organization Name,Facility name
providers.service_facility.name,2310D,NM1,4,Name First,First name (for individuals)
providers.service_facility.name,2310D,NM1,5,Name Middle,Middle name (for individuals)
providers.service_facility.street,2310D,N3,1,Address Information,Street address
providers.service_facility.city,2310D,N4,1,City Name,City
providers.service_facility.state,2310D,N4,2,State or Province Code,State code
providers.service_facility.zip,2310D,N4,3,Postal Code,ZIP code
providers.service_facility.ein_type,2310D,REF,1,Reference Identification Qualifier,Reference qualifier
providers.service_facility.ein,2310D,REF,2,Reference Identification,Reference ID
providers.service_facility.taxonomy,2310D,PRV,3,Provider Specialty Information,Provider taxonomy code
providers.service_facility.provider_role,2310D,PRV,1,Provider Code,Service Facility
claim_header.claim_id,2300,CLM,1,Claim Submitter's Identifier,Unique claim identifier
claim_header.claim_amount,2300,CLM,2,Monetary Amount,Total claim charge amount
claim_header.facility_type_code,2300,CLM,5,Health Care Service Location Information,Facility type and bill type
claim_header.claim_dates,2300,DTP,1,Date/Time Qualifier,Date type code
claim_header.claim_dates,2300,DTP,2,Date Time Period Format Qualifier,Date format
claim_header.claim_dates,2300,DTP,3,Date Time Period,Date value
claim_header.admission_type,2300,CL1,1,Admission Type Code,1=Emergency, 2=Urgent, 3=Elective, 4=Newborn, 5=Trauma, 9=Information Not Available
claim_header.admission_src_cd,2300,CL1,2,Admission Source Code,1=Physician Referral, 2=Clinic Referral, 3=HMO Referral, 4=Transfer from Hospital, 5=Transfer from SNF, 6=Transfer from Another Health Care Facility, 7=Emergency Room, 8=Court/Law Enforcement, 9=Information Not Available, A=Transfer from Critical Access Hospital, B=Transfer from Another Home Health Agency, C=Readmission to Same Home Health Agency, D=Not Available, E=Transfer from Hospital Inpatient in Same Facility Resulting in Separate Claim to Carriers, F=Transfer from Ambulatory Surgery Center, G=Transfer to Hospice and Under Hospice Election for All Hospice Care, H=Transfer to Hospice and Revoke Hospice Election for Non-Hospice Provider, I=Transfer to/from Inpatient Rehabilitation Facility (IRF) Including Distinct Part Units of a Hospital, J=Transfer to/from Long Term Care Hospital (LTCH), K=Transfer from Distinct Part Unit of a Hospital, L=Transfer from a SNF or ICF, M=Transfer from Ambulatory Surgery Center, N=Transfer from Hospice and Revoke Election for Non-Hospice Provider, P=Readmission to Same Inpatient Rehabilitation Facility (IRF), Q=Not Applicable, R=Not Applicable, S=Not Applicable, T=Not Applicable, U=Not Applicable, V=Not Applicable, W=Not Applicable, X=Not Applicable, Y=Not Applicable, Z=Not Applicable
